pdfId,url,status,contentType,contentLength,ok,error,catalogPages
07de1dbfc6f644d7a25ca965d0e19cb2,https://static.wixstatic.com/ugd/d8e7ad_07de1dbfc6f644d7a25ca965d0e19cb2.pdf,200,application/pdf,97017,PASS,,G4 t=29 «מרובעים תכונות מיון והכלה» lv=a /worksheets?grade=4&topic=29
07fb9927193242f8859fc107b39f6aec,https://static.wixstatic.com/ugd/d8e7ad_07fb9927193242f8859fc107b39f6aec.pdf,200,application/pdf,130741,PASS,,G8 t=35 «גישור ותיקון פערים» lv=one /worksheets?grade=8&topic=35
082390d2a73b4c13a910df1551114223,https://static.wixstatic.com/ugd/d8e7ad_082390d2a73b4c13a910df1551114223.pdf,200,application/pdf,68985,PASS,,G5 t=3 «כפל רב ספרתי ובדיקת סבירות» lv=a /worksheets?grade=5&topic=3
08619875e75949978a7a0117581e1768,https://static.wixstatic.com/ugd/d8e7ad_08619875e75949978a7a0117581e1768.pdf,200,application/pdf,2717843,PASS,,G1 t=20 «שעה שלמה» lv=b /worksheets?grade=1&topic=20
087677099c724f8abcc48834af6a5ee2,https://static.wixstatic.com/ugd/d8e7ad_087677099c724f8abcc48834af6a5ee2.pdf,200,application/pdf,2412118,PASS,,G1 t=3 «סדר שכנים והשוואה» lv=a /worksheets?grade=1&topic=3
08a221fcde964d8dbb1350eeeebe1c36,https://static.wixstatic.com/ugd/d8e7ad_08a221fcde964d8dbb1350eeeebe1c36.pdf,200,application/pdf,1282195,PASS,,G2 t=23 «מדידת אורך» lv=a /worksheets?grade=2&topic=23
0925c3a433404f029cb13b291ae93ef0,https://static.wixstatic.com/ugd/d8e7ad_0925c3a433404f029cb13b291ae93ef0.pdf,200,application/pdf,113579,PASS,,G9 t=26 «שטח מלבן וריבוע — העמקה — לכיתה ט׳» lv=b /worksheets?grade=9&topic=26
0977e97f7d95447585aab8b01270ca3d,https://static.wixstatic.com/ugd/d8e7ad_0977e97f7d95447585aab8b01270ca3d.pdf,200,application/pdf,58000,PASS,,G6 t=11 «חקר גופים ותכונותיהם» lv=b /worksheets?grade=6&topic=11
09ed723fa5b34bfca4d4124d31e23cf7,https://static.wixstatic.com/ugd/d8e7ad_09ed723fa5b34bfca4d4124d31e23cf7.pdf,200,application/pdf,1702742,PASS,,G2 t=25 «שעון ומשך זמן» lv=c /worksheets?grade=2&topic=25
09fa81169748476fbb517f0e9ed5b995,https://static.wixstatic.com/ugd/d8e7ad_09fa81169748476fbb517f0e9ed5b995.pdf,200,application/pdf,107728,PASS,,G8 t=45 «יחס שטחים» lv=a /worksheets?grade=8&topic=45
09fd76e916674a12a863714c2a86461e,https://static.wixstatic.com/ugd/d8e7ad_09fd76e916674a12a863714c2a86461e.pdf,200,application/pdf,106213,PASS,,G7 t=40 «שלושה ייצוגים לפתרון משוואה» lv=a /worksheets?grade=7&topic=40
0a4f563e6e524a4197827361d4beba41,https://static.wixstatic.com/ugd/d8e7ad_0a4f563e6e524a4197827361d4beba41.pdf,200,application/pdf,91327,PASS,,G6 t=2 «כפל כחלק מכמות ושטח» lv=b /worksheets?grade=6&topic=2
0ae6e55773aa4829b12a6aff5c15bfee,https://static.wixstatic.com/ugd/d8e7ad_0ae6e55773aa4829b12a6aff5c15bfee.pdf,200,application/pdf,188818,PASS,,G8 t=30 «חיתוך צירים» lv=a /worksheets?grade=8&topic=30
0b0711dca4b14ecb84d4413065c3b7c5,https://static.wixstatic.com/ugd/d8e7ad_0b0711dca4b14ecb84d4413065c3b7c5.pdf,200,application/pdf,121374,PASS,,G8 t=20 «סימון פונקציה» lv=b /worksheets?grade=8&topic=20
0b5f334408b54a6296ae689cd3825c14,https://static.wixstatic.com/ugd/d8e7ad_0b5f334408b54a6296ae689cd3825c14.pdf,200,application/pdf,93099,PASS,,G6 t=3 «כפל שבר בשבר» lv=a /worksheets?grade=6&topic=3
0b994dcbd85348e7aba548cfa7415f4e,https://static.wixstatic.com/ugd/d8e7ad_0b994dcbd85348e7aba548cfa7415f4e.pdf,200,application/pdf,60728,PASS,,G3 t=23 «בונים ומפרקים צורות» lv=a /worksheets?grade=3&topic=23
0ba3006d6cd742d2aea3e5589589f081,https://static.wixstatic.com/ugd/d8e7ad_0ba3006d6cd742d2aea3e5589589f081.pdf,200,application/pdf,130617,PASS,,G7 t=10 «הרחבת מערכת הצירים חלק 2 — יישום והעמקה» lv=a /worksheets?grade=7&topic=10
0be14af5dc214d23975e51eb5050bd36,https://static.wixstatic.com/ugd/d8e7ad_0be14af5dc214d23975e51eb5050bd36.pdf,200,application/pdf,67605,PASS,,G6 t=7 «אלגוריתם חילוק שברים והופכי» lv=b /worksheets?grade=6&topic=7
0bea028f4c2f48e68b0f9ccd4d346af4,https://static.wixstatic.com/ugd/d8e7ad_0bea028f4c2f48e68b0f9ccd4d346af4.pdf,200,application/pdf,106876,PASS,,G4 t=17 «מצולעים ואלכסונים» lv=a /worksheets?grade=4&topic=17
0c2a80be32414c0a8feac1c6ef34e381,https://static.wixstatic.com/ugd/d8e7ad_0c2a80be32414c0a8feac1c6ef34e381.pdf,200,application/pdf,82117,PASS,,G7 t=3 «כפל מספרים מכוונים» lv=a /worksheets?grade=7&topic=3
0c52fba6ca724f3ba8cf7347e1a06913,https://static.wixstatic.com/ugd/d8e7ad_0c52fba6ca724f3ba8cf7347e1a06913.pdf,200,application/pdf,303264,PASS,,G3 t=1 «ערך מקום» lv=c /worksheets?grade=3&topic=1
0cc40c26e42748188b1661bde49059f1,https://static.wixstatic.com/ugd/d8e7ad_0cc40c26e42748188b1661bde49059f1.pdf,200,application/pdf,77757,PASS,,G3 t=25 «כסף» lv=b /worksheets?grade=3&topic=25
0d2c19b340234a8db8c0bc9d080b50d1,https://static.wixstatic.com/ugd/d8e7ad_0d2c19b340234a8db8c0bc9d080b50d1.pdf,200,application/pdf,119788,PASS,,G8 t=44 «הוכחת דמיון» lv=c /worksheets?grade=8&topic=44
0d548ce76eb74a1ab10385cdaf1f77ca,https://static.wixstatic.com/ugd/d8e7ad_0d548ce76eb74a1ab10385cdaf1f77ca.pdf,200,application/pdf,426501,PASS,,G9 t=23 «מצולעים חופפים וטרנספורמציות — לכיתה ט׳» lv=a /worksheets?grade=9&topic=23
0d55ce157c4a49dd8e0b63d70417aa52,https://static.wixstatic.com/ugd/d8e7ad_0d55ce157c4a49dd8e0b63d70417aa52.pdf,200,application/pdf,85705,PASS,,G8 t=13 «גליל — שטח פנים» lv=c /worksheets?grade=8&topic=13
0d6297f14d4149e2b2e2e2bc67b386c4,https://static.wixstatic.com/ugd/d8e7ad_0d6297f14d4149e2b2e2e2bc67b386c4.pdf,200,application/pdf,306746,PASS,,G3 t=9 «כפל עובדות ומבנים» lv=b /worksheets?grade=3&topic=9
0d6aa328c2e74cc798ae04eb9c6301cf,https://static.wixstatic.com/ugd/d8e7ad_0d6aa328c2e74cc798ae04eb9c6301cf.pdf,200,application/pdf,1115378,PASS,,G1 t=9 «חיסור בתחום 20» lv=b /worksheets?grade=1&topic=9
0d88d1d98f07422aa5cbc2e711852f51,https://static.wixstatic.com/ugd/d8e7ad_0d88d1d98f07422aa5cbc2e711852f51.pdf,200,application/pdf,81532,PASS,,G7 t=24 «איסוף וקריאת מידע» lv=b /worksheets?grade=7&topic=24
0dbf6ebd9d444700a077f9e2d5bd599e,https://static.wixstatic.com/ugd/d8e7ad_0dbf6ebd9d444700a077f9e2d5bd599e.pdf,200,application/pdf,1091012,PASS,,G1 t=7 «בונים 20 דרך 10» lv=b /worksheets?grade=1&topic=7
0dec15979b9f424e9e1a12484f33cd74,https://static.wixstatic.com/ugd/d8e7ad_0dec15979b9f424e9e1a12484f33cd74.pdf,200,application/pdf,69323,PASS,,G5 t=30 «חיבור וחיסור מספרים עשרוניים ואומדן» lv=b /worksheets?grade=5&topic=30
0df19a15439844c19046824b58d839ff,https://static.wixstatic.com/ugd/d8e7ad_0df19a15439844c19046824b58d839ff.pdf,200,application/pdf,63597,PASS,,G5 t=31 «שטח משולש בסיס וגובה» lv=a /worksheets?grade=5&topic=31
0e3c7ab812674cfcb8ec35837e160705,https://static.wixstatic.com/ugd/d8e7ad_0e3c7ab812674cfcb8ec35837e160705.pdf,200,application/pdf,109057,PASS,,G7 t=37 «משוואות ופתרונן חלק 2 — סוגריים ושקילות» lv=b /worksheets?grade=7&topic=37
0e4e3d1c0b744f4b982d5cab44aa1729,https://static.wixstatic.com/ugd/d8e7ad_0e4e3d1c0b744f4b982d5cab44aa1729.pdf,200,application/pdf,80907,PASS,,G6 t=18 «שבר עשרוני ואחוז שלושה ייצוגים לאותו מספר» lv=b /worksheets?grade=6&topic=18
0e9eba9ba0a045159401d71d749c339b,https://static.wixstatic.com/ugd/d8e7ad_0e9eba9ba0a045159401d71d749c339b.pdf,200,application/pdf,88037,PASS,,G8 t=25 «בחירת מדד» lv=a /worksheets?grade=8&topic=25
0ec9f2398585408dada6611f6fa5557d,https://static.wixstatic.com/ugd/d8e7ad_0ec9f2398585408dada6611f6fa5557d.pdf,200,application/pdf,60255,PASS,,G6 t=22 «קנה מידה במפות ובשרטוטים» lv=b /worksheets?grade=6&topic=22
0f56fd61bb9142fab50c82ed99005704,https://static.wixstatic.com/ugd/d8e7ad_0f56fd61bb9142fab50c82ed99005704.pdf,200,application/pdf,48105,PASS,,G8 t=64 «משימת הערכה 1» lv=c /worksheets?grade=8&topic=64
10051158962240b99db50a3166db6e44,https://static.wixstatic.com/ugd/d8e7ad_10051158962240b99db50a3166db6e44.pdf,200,application/pdf,191411,PASS,,G8 t=30 «חיתוך צירים» lv=c /worksheets?grade=8&topic=30
103377f4e4934f7da2e43c0ac0a510f1,https://static.wixstatic.com/ugd/d8e7ad_103377f4e4934f7da2e43c0ac0a510f1.pdf,200,application/pdf,149112,PASS,,G8 t=12 «פיתגורס מורכב» lv=b /worksheets?grade=8&topic=12
10477353cde545bdba613b4c853a5a09,https://static.wixstatic.com/ugd/d8e7ad_10477353cde545bdba613b4c853a5a09.pdf,200,application/pdf,73940,PASS,,G5 t=8 «שברים על ישר והשוואה» lv=a /worksheets?grade=5&topic=8
108e6d047d00490b9499a1e80171b2fe,https://static.wixstatic.com/ugd/d8e7ad_108e6d047d00490b9499a1e80171b2fe.pdf,200,application/pdf,125846,PASS,,G3 t=20 «קוראים דיאגרמה» lv=c /worksheets?grade=3&topic=20
10d326087dac4c2eb2c90a2adf4453fd,https://static.wixstatic.com/ugd/d8e7ad_10d326087dac4c2eb2c90a2adf4453fd.pdf,200,application/pdf,173752,PASS,,G8 t=32 «ישרים מקבילים לצירים» lv=a /worksheets?grade=8&topic=32
114ce88ff3514961b13a830c90608953,https://static.wixstatic.com/ugd/d8e7ad_114ce88ff3514961b13a830c90608953.pdf,200,application/pdf,162707,PASS,,G8 t=34 «אבחון אמצע שנה» lv=one /worksheets?grade=8&topic=34
11ca0a8bb1dd485d84bedd6de155e988,https://static.wixstatic.com/ugd/d8e7ad_11ca0a8bb1dd485d84bedd6de155e988.pdf,200,application/pdf,109179,PASS,,G8 t=58 «חזרה מסכמת» lv=one /worksheets?grade=8&topic=58
1202677ce8d842b0ad0206900f741ae4,https://static.wixstatic.com/ugd/d8e7ad_1202677ce8d842b0ad0206900f741ae4.pdf,200,application/pdf,84970,PASS,,G7 t=26 «שכיחות יחסית חלק 1 — היכרות» lv=b /worksheets?grade=7&topic=26
120a05cce9424f3597ac63b7ca89345e,https://static.wixstatic.com/ugd/d8e7ad_120a05cce9424f3597ac63b7ca89345e.pdf,200,application/pdf,90499,PASS,,G7 t=21 «חוקיות» lv=a /worksheets?grade=7&topic=21
1229226e126b4a4b908488503eafcba4,https://static.wixstatic.com/ugd/d8e7ad_1229226e126b4a4b908488503eafcba4.pdf,200,application/pdf,55138,PASS,,G6 t=20 «מציאת השלם ויישומי אחוזים» lv=b /worksheets?grade=6&topic=20
1284b66742884f629e4ab6a692fad4f7,https://static.wixstatic.com/ugd/d8e7ad_1284b66742884f629e4ab6a692fad4f7.pdf,200,application/pdf,1109413,PASS,,G1 t=3 «סדר שכנים והשוואה» lv=c /worksheets?grade=1&topic=3
128e852808de4280ad80ab68efc6c983,https://static.wixstatic.com/ugd/d8e7ad_128e852808de4280ad80ab68efc6c983.pdf,200,application/pdf,78773,PASS,,G7 t=6 «חזקות עם מעריך טבעי» lv=c /worksheets?grade=7&topic=6
129976246ab548809e8decb9905dfd1a,https://static.wixstatic.com/ugd/d8e7ad_129976246ab548809e8decb9905dfd1a.pdf,200,application/pdf,84815,PASS,,G7 t=24 «איסוף וקריאת מידע» lv=a /worksheets?grade=7&topic=24
129d683d836f4b9b860c8221f1c69587,https://static.wixstatic.com/ugd/d8e7ad_129d683d836f4b9b860c8221f1c69587.pdf,200,application/pdf,40025,PASS,,G8 t=62 «זוויות בין ישרים מקבילים» lv=b /worksheets?grade=8&topic=62
12e990a6cb384855965c63e8d7233698,https://static.wixstatic.com/ugd/d8e7ad_12e990a6cb384855965c63e8d7233698.pdf,200,application/pdf,91421,PASS,,G4 t=20 «מיון משולשים» lv=c /worksheets?grade=4&topic=20
137c91e53d1b463dabd899e23472e441,https://static.wixstatic.com/ugd/d8e7ad_137c91e53d1b463dabd899e23472e441.pdf,200,application/pdf,133317,PASS,,G8 t=21 «מעבר בין ייצוגים» lv=b /worksheets?grade=8&topic=21
13de751b05d54280890a64d482642333,https://static.wixstatic.com/ugd/d8e7ad_13de751b05d54280890a64d482642333.pdf,200,application/pdf,85295,PASS,,G4 t=5 «אומדן ובעיות חיבור וחיסור כולל כסף» lv=b /worksheets?grade=4&topic=5
1481ffdfa63d416982e7ccbfe09bb71e,https://static.wixstatic.com/ugd/d8e7ad_1481ffdfa63d416982e7ccbfe09bb71e.pdf,200,application/pdf,62156,PASS,,G9 t=9 «סטטיסטיקה» lv=c /worksheets?grade=9&topic=9
1483fe5af469436db77fd7f014fda3f4,https://static.wixstatic.com/ugd/d8e7ad_1483fe5af469436db77fd7f014fda3f4.pdf,200,application/pdf,120797,PASS,,G8 t=20 «סימון פונקציה» lv=c /worksheets?grade=8&topic=20
14892443cd424d4d884c9e11104cce63,https://static.wixstatic.com/ugd/d8e7ad_14892443cd424d4d884c9e11104cce63.pdf,200,application/pdf,1125187,PASS,,G2 t=14 «ממיינים ומשווים מספרים עד 1000» lv=b /worksheets?grade=2&topic=14
15486a3c194d47019c50e32e5f34f62d,https://static.wixstatic.com/ugd/d8e7ad_15486a3c194d47019c50e32e5f34f62d.pdf,200,application/pdf,69133,PASS,,G5 t=5 «גורמים ראשוניים ופריקים» lv=c /worksheets?grade=5&topic=5
15bafc193e7d4786a2c422abd2e9bd1a,https://static.wixstatic.com/ugd/d8e7ad_15bafc193e7d4786a2c422abd2e9bd1a.pdf,200,application/pdf,112777,PASS,,G9 t=26 «שטח מלבן וריבוע — העמקה — לכיתה ט׳» lv=a /worksheets?grade=9&topic=26
15bc7f5e05714c4ea42d97638371fac3,https://static.wixstatic.com/ugd/d8e7ad_15bc7f5e05714c4ea42d97638371fac3.pdf,200,application/pdf,945236,PASS,,G2 t=7 «חיסור דו ספרתי ללא פריטה» lv=b /worksheets?grade=2&topic=7
15e9a1d10681431e94b2f11201450b03,https://static.wixstatic.com/ugd/d8e7ad_15e9a1d10681431e94b2f11201450b03.pdf,200,application/pdf,49361,PASS,,G8 t=63 «מעגל ועיגול — היקף ושטח» lv=b /worksheets?grade=8&topic=63
1626318ee2c94f6a9b53ffcaf289ec83,https://static.wixstatic.com/ugd/d8e7ad_1626318ee2c94f6a9b53ffcaf289ec83.pdf,200,application/pdf,97689,PASS,,G8 t=65 «הוכחות בחפיפת משולשים» lv=c /worksheets?grade=8&topic=65
164a358449514472b61f35fde0914af9,https://static.wixstatic.com/ugd/d8e7ad_164a358449514472b61f35fde0914af9.pdf,200,application/pdf,117642,PASS,,G9 t=20 «מעבר לחטיבה העליונה» lv=b /worksheets?grade=9&topic=20
166f6c3d4124433788bae2e23819f9b0,https://static.wixstatic.com/ugd/d8e7ad_166f6c3d4124433788bae2e23819f9b0.pdf,200,application/pdf,62490,PASS,,G5 t=19 «תכונות ואלכסונים במרובעים» lv=b /worksheets?grade=5&topic=19
1696192f5f054d5e853fcaee49e1500b,https://static.wixstatic.com/ugd/d8e7ad_1696192f5f054d5e853fcaee49e1500b.pdf,200,application/pdf,1102347,PASS,,G1 t=6 «חיסור בתחום 10» lv=a /worksheets?grade=1&topic=6
